AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
Hotel Collection Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=102495&utm_source=getlasso,"Hotel Collection offers the world's most sought-after hotel scents, imparting luxury to your home or business.","Candle, Essential Oils, Fragrance, Home Decor"
Birthstone Scents Affiliate Program,Physical Product,10% Per Sale,Unknown,https://account.shareasale.com/shareasale.cfm?merchantID=102607&utm_source=getlasso,"Birthstone Scents offers artisanal perfumes and home fragrances inspired by gems, crafted with natural ingredients, non-toxic & sustainable.","Candle, Fragrance, Health and Wellness, Home Decor"
Maytag Affiliate Program,Physical Product,1% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5546102&utm_source=getlasso#/branded,"The Maytag Corporation is an American home, commercial, and dependable appliance brand owned by Whirlpool Corporation.","Appliance, Cooking, Electronics, Home Improvement"
Here For The Burn Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=101757&utm_source=getlasso,Here For the Burn makes and customs statement candles with a choice of signature scent that is perfect keepsake.,"Candle, Fragrance, Home Decor"
The Slipcover Company Affiliate Program,Physical Product,15% Per Sale,90 Days,https://www.theslipcovercompany.com/pages/affiliate-program,"The Slipcover Company has been one of the major suppliers of high-quality slipcovers, slipovers, throws, dining covers, and pillows.","Home Decor, Sleep"
Thula Tula Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=102080&utm_source=getlasso,"Thula Tula is about celebrating African culture and bringing it to the world, bringing diversity into the home goods market.","Home Decor, Sleep"
CanvasPrints.com Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104018&utm_source=getlasso,"CanvasPrints.com offers the best quality photo canvas prints available, at the lowest price point in the market.","Crafts, Home Decor"
MY3DSELFIE Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98689&utm_source=getlasso,"My3dselfie.com creates lifelike 3d printed figurines from any type of photos, selling non-custom collectibles, decor items, and more.","Home Decor, Toy"
Frisson Affiliate Program,Physical Product,9% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104626&utm_source=getlasso,"Frisson Home is a UK-based e-commerce platform, offering the very best in homeware, furniture, lighting, and featured home decor.","All-Around, Appliance, Ecommerce, Electronics, Gardening, Home Decor, Home Improvement, Sleep"
Sleeping Pure Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=102888&utm_source=getlasso,Sleeping Pure prides itself on handcrafting the finest quality bedding products with premium natural materials.,"Home Decor, Sleep"
Figi’s Affiliate Program,Physical Product,6% Per Sale,15 Days,https://www.flexoffers.com/affiliate-programs/figis-companies-inc-affiliate-program/?RID=1104052&utm_source=getlasso,Figi's has grown into one of the leading food gift retailers in the US that sells great gifts at good prices.,"Ecommerce, Electronics, Fashion, Gardening, Gift Basket, Home Decor, Sleep, Tech, Toy"
Lovespoon Candles Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104720&utm_source=getlasso,"Lovespoon Candles Creates Handcrafted Premium Soy Candles, Travel Tins, and Candle Club Subscription Box for the Sophisticated Woman in mind.","Candle, Essential Oils, Fragrance, Home Decor"
Vaya Affiliate Program,Physical Product,5% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98938&utm_source=getlasso,"Vaya creates comfortable sleep products, making the perfect range of affordable sleep products for a good night’s sleep.","Health and Wellness, Home Decor, Mattress, Sleep"
Herman Miller Affiliate Program,Physical Product,1% - 10% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5491845&utm_source=getlasso#/branded,"The Herman Miller Store offers a full collection of living, dining, and office furniture available to purchase directly from Herman Miller.","Ecommerce, Electronics, Gaming, Home Decor, Home Improvement"
Chiltern Oak Furniture UK Affiliate Program,Physical Product,3% Per Sale,30 Days,https://ui.awin.com/merchant-profile/15640?pid=51861&utm_source=getlasso,"Chiltern Oak Furniture is a family-run online furniture store, specializing in painted and oak cabinet furniture, Chiltern Oak.","Home Decor, Mattress"
Pizuna Linens Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103597&utm_source=getlasso,Pizuna Linens is an online global emerging brand of premium 100% long-staple cotton bedding at great prices.,"Home Decor, Sleep"
Emergency Candle Company Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103053&utm_source=getlasso,Emergency Candle Company crafts top quality and uniquely custom candles that help you set the mood and evoke an experience.,"Candle, Fragrance, Home Decor"
Shopango Affiliate Program,Physical Product,10% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=101032&utm_source=getlasso,"SHOPANGO is the destination for the best deals for quality home & office furniture, luggage, protective gear, tech products, and much more.","Gaming, Home Decor, Mattress, Sleep"
Layered Lounge Affiliate Program,Physical Product,5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/21066?pid=51861&utm_source=getlasso,"Layered Lounge is an online Homestore, helping you create a stylish and inviting home that transcends across Modern Costal interiors.","Candle, Fragrance, Home Decor"
Copper Kitchen Store Affiliate Program,Physical Product,4% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=106011&utm_source=getlasso,"Copper Kitchen Store is the official kitchen store of Amoretti Brothers' luxury copper cookware, chef tools, and kitchen decors.",Cooking
Gifts Tomorrow Affiliate Program,Physical Product,10% Per Sale,30 Days,https://ui.awin.com/merchant-profile/19902?pid=51861&utm_source=getlasso,Gifts Tomorrow sells gifts and everyday home items. They have a wide range of products ranging from gifts for wine drinkers to cozy blankets.,"Alcohol, Beer, Crafts, Ecommerce, Fitness, Gardening, Gift, Home Decor, Sleep"
vidaXL Affiliate Program,Physical Product,6% Per Sale,10 Days,https://app.impact.com/campaign-promo-signup/vidaXL.brand?execution=e1s1&utm_source=getlasso,"vidaXL is an online department store for all of your home, garden, garage and DIY needs, offering a wide range of products for fair prices.","Automotive, Baby Products, Ecommerce, Fitness, Gardening, Gift, Home Decor, Luggage, Toy"
Slumberland Furniture Affiliate Program,Physical Product,5% - 8% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5499930&utm_source=getlasso#/branded,Slumberland Furniture offers affordable home furnishings with a wide variety of styles that help deliver the look you want.,"Home Decor, Mattress, Sleep"
Karen Kane Affiliate Program,Physical Product,7% Per Sale,45 Days,https://signup.cj.com/member/signup/publisher/?cid=5676811&utm_source=getlasso#/branded,Karen Kane offers sustainable clothing & goods for modern women. Their ethically sourced products are timeless & trendy.,"Candle, Fashion, Fragrance, Gift, Home Decor, Jewelry"
Birch Lane Professional Affiliate Program,Physical Product,4% Per Sale,60 Days,https://signup.cj.com/member/signup/publisher/?cid=5207348&utm_source=getlasso#/branded,Wayfair Professional's objective is to give business and trade customers a one-stop-shop to turn their business spaces from good to great.,"Art, Home Decor, Home Improvement, Sleep"
Shearer Candles Affiliate Program,Physical Product,5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/21050,Shearer Candles is a leading creator and purveyor of artisan candles and scented products with the purest ingredients.,"Candle, Essential Oils, Fragrance, Home Decor"
Carved Solutions Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103118&utm_source=getlasso,"Carved Solutions produce soaps, candles, glassware, cutting boards, and various other eco-friendly home goods with custom personalization.","Candle, Fragrance, Gift, Home Decor"
Winssy Affiliate Program,Physical Product,20% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104395&utm_source=getlasso,"Winssy offers professional beauty-related silk products, providing the highest quality which is the best-kept secret of beauty experts.","Gift, Hair Product, Home Decor, Sleep"
Natural Form Affiliate Program,Physical Product,10% Per Sale,180 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92181&utm_source=getlasso,"Natural Form®, a family owned and operated company, has been designing and manufacturing patented mattresses for more than 30 years.","Home Decor, Mattress, Sleep"
Yana Sleep Affiliate Program,Physical Product,2% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=106586&utm_source=getlasso,"Yana's luxury, organic sleep pillow wraps around your body & contours to your curves, so you can wake up feeling transformed.","Health and Wellness, Home Decor, Sleep"
GladGrid Affiliate Program,Physical Product,14% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103297&utm_source=getlasso,"GladGrid Home is dedicated to helping live in a better place through the thoughtfully selected ideal furniture, decorations and more.","Home Decor, Mattress, Sleep"
Hemlock Park Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=106331&utm_source=getlasso,"Hemlock Park offers apothecary that handcrafts premium candles made with organic coconut wax, pure ingredients and distinct fragrances.","Candle, Fragrance, Gift, Home Decor, Organic Products, Vegan"
Yvonne Ellen Affiliate Program,Physical Product,7% Per Sale,30 Days,https://ui.awin.com/merchant-profile/20793?pid=51861&utm_source=getlasso,Yvonne Ellen London is a truly unique range of home and giftware designed to add charm and intrigue to your life and home.,"Essential Oils, Fragrance, Gift, Home Decor, Sleep"
Mineheart Affiliate Program,Physical Product,10% Per Sale,30 Days,https://mineheart.com/affiliates/,"Mineheart produce the Lovable Collection of furniture, lighting, wallpaper and interior accessories designed.","Candle, Electronics, Fragrance, Home Decor, Home Improvement"
Maison Numen Affiliate Program,Physical Product,5% to 12% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=106546&utm_source=getlasso,"Maison Numen is an online marketplace for artisan products for the home, kitchen, and tabletop. They have handmade decor from around the world.","Candle, Cooking, Fragrance, Home Decor"
Zebit Affiliate Program,Physical Product,68.50% Per Sale,30 Days,https://www.viglink.com/merchants/162179/zebit-affiliate-program,"Zebit is a marketplace where you can buy now and pay later, provides members with up to $2,500 of credit to shop thousands of top brands.","Appliance, Electronics, High-Paying, Home Decor, Tech"
Healthy Bedrooms Affiliate Program,Physical Product,5% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=106837&utm_source=getlasso,"Healthy Bedrooms offers high quality bedroom products at low prices, providing them with personalized comfort.","Home Decor, Mattress, Sleep"
Flash PopUp Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=99669&utm_source=getlasso,"Flash PopUp provides both classic, high-quality products and unique, nontraditional goods from hand sanitizers to toys and puzzles and more.","All-Around, Ecommerce, Fashion, Gift, Home Decor, Sleep, Sports, Toy"
Christian Ladd Home Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=106805&utm_source=getlasso,"Christian Ladd Home is a one-stop shop for a curated collection of art, antiques, linens, and exclusive collaborations.","Gift, Home Decor"
Yedwo Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=107887&utm_source=getlasso,"Yedwo is an online shop that offers home furnishings and decorations including dining, curtains, furniture, bedroom collections & more.","All-Around, Electronics, Home Decor, Sleep"
